day,month,year,name,bio,url
4,3,1889,Oscar Chisini,Italian mathematician and statistician (d. 1967),https://en.wikipedia.org/wiki/Oscar_Chisini
5,3,1512,Gerardus Mercator,"Flemish mathematician, cartographer, and philosopher (d. 1594)",https://en.wikipedia.org/wiki/Gerardus_Mercator
5,3,1575,William Oughtred,English minister and mathematician (d. 1660),https://en.wikipedia.org/wiki/William_Oughtred
5,3,1779,Benjamin Gompertz,English mathematician and statistician (d. 1865),https://en.wikipedia.org/wiki/Benjamin_Gompertz
5,3,1794,Jacques Babinet,"French physicist, mathematician, and astronomer (d. 1872)",https://en.wikipedia.org/wiki/Jacques_Babinet
5,3,1880,Sergei Natanovich Bernstein,Russian mathematician and academic (d. 1968),https://en.wikipedia.org/wiki/Sergei_Natanovich_Bernstein
5,3,1883,Pauline Sperry,American mathematician (d. 1967),https://en.wikipedia.org/wiki/Pauline_Sperry
5,3,1915,Laurent Schwartz,French mathematician and academic (d. 2002),https://en.wikipedia.org/wiki/Laurent_Schwartz
7,3,1792,John Herschel,English mathematician and astronomer (d. 1871),https://en.wikipedia.org/wiki/John_Herschel
7,3,1886,G. I. Taylor,English mathematician and physicist (d. 1975),https://en.wikipedia.org/wiki/G._I._Taylor
7,3,1922,Olga Ladyzhenskaya,Russian mathematician and academic (d. 2004),https://en.wikipedia.org/wiki/Olga_Ladyzhenskaya
11,3,1811,Urbain Le Verrier,French mathematician and astronomer (d. 1877),https://en.wikipedia.org/wiki/Urbain_Le_Verrier
11,3,1822,Joseph Louis François Bertrand,"French mathematician, economist, and academic (d. 1900)",https://en.wikipedia.org/wiki/Joseph_Louis_Fran%C3%A7ois_Bertrand
11,3,1870,Louis Bachelier,French mathematician and theorist (d. 1946),https://en.wikipedia.org/wiki/Louis_Bachelier
12,3,1835,Simon Newcomb,Canadian-American astronomer and mathematician (d. 1909),https://en.wikipedia.org/wiki/Simon_Newcomb
12,3,1859,Ernesto Cesàro,Italian mathematician (d. 1906),https://en.wikipedia.org/wiki/Ernesto_Ces%C3%A0ro
12,3,1904,Lyudmila Keldysh,Russian mathematician (d. 1976),https://en.wikipedia.org/wiki/Lyudmila_Keldysh
13,3,1855,Percival Lowell,American astronomer and mathematician (d. 1916),https://en.wikipedia.org/wiki/Percival_Lowell
13,3,1899,John Hasbrouck Van Vleck,"American physicist and mathematician, Nobel Prize laureate (d. 1980)",https://en.wikipedia.org/wiki/John_Hasbrouck_Van_Vleck
13,3,1945,Anatoly Fomenko,Russian mathematician and academic,https://en.wikipedia.org/wiki/Anatoly_Fomenko
14,3,1882,Wacław Sierpiński,Polish mathematician and academic (d. 1969),https://en.wikipedia.org/wiki/Wac%C5%82aw_Sierpi%C5%84ski
